Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(Ans4a_hint3)%	-	-	-	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	"<%=ifThen(hasValue(col1.Question2a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question2a),""The length of %(trgtBase2)% is given in the questions statement. Read it carefully to find out."",concat(""The length of "",col1.Question2a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram have the SAME length! Here is a hint: %(Base2_alt)% is parallel to %(trgtBase2)%."")),""As shown by the diagram, ST and SP are perpendicular. Which one is the base?"")%>"	"<%=ifThen(hasValue(col1.Question2a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question2a),""The length of %(trgtBase2)% is given in the questions statement. Read it carefully the find out."",concat(""The length of "",col1.Question2a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram have the SAME length! Here is a hint: %(Base2_alt)% is parallel to %(trgtBase2)%."")),""Your lazy partner measured only one side. This means, for your base, you have to use that side, or the side parallel to it. Which side is the one your partner measured?"")%>"	-	-	"<%=ifThen(hasValue(col2.Question3b,col4.Question3d),""In the problem statement, lengths of the perimeter ( P = %(Ans4_d)% %(unt1)%) and the adjacent side (%(Ans1_b)% = %(Ans4_b)% %(unt1)%) are given! Try subtracting 2 adjacent sides from the perimeter. What will remain?"",""Perimeter also needs the base to be calculated! Perimeter = 2*(base + adjacent). But looks like you are missing either the length of the adjacent side or the perimeter on this row!"")%>"	-	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Start thinking with easy numbers. If '?' * '2' = 6, can you figure out what '?' is? You know that 3x2 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the height(h) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-
%(Ans4a_hint4)%	-	-	-	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Now do the same thing with %(Ans4_c)%(area) and %(Ans4_b)%(height); divide %(Ans4_c)% by %(Ans4_b)%: %(Ans4_c)%/%(Ans4_b)% = %(Ans4_a)%."",""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Now do the same thing with %(Ans4_c)%(area) and %(Ans4_b)%(height); divide %(Ans4_c)% by %(Ans4_b)%: %(Ans4_c)%/%(Ans4_b)% = %(Ans4_a)%."",""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	-	"<%=ifThen(hasValue(col1.Question2a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question2a),""Question2 has given you SP = %(Ans4_a)%. Enter %(Ans4_a)% into the highlighted area."",""Question2 has given you SP = %(Ans4_a)%. Since %(Base2_alt)% is parallel to %(trgtBase2)%, %(Base2_alt)% = %(Ans4_a)% as well.""),""Base must be a side of a parallelogram. Therefore, SP is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col1.Question2a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question2a),""Question2 have given you AL = %(Ans4_a)%. Enter %(Ans4_a)% into the highlighted area."",""Question2 have given you AL = %(Ans4_a)%. Since %(Base2_alt)% is parallel to %(trgtBase2)%, %(Base2_alt)% = %(Ans4_a)% as well.""),""Your partner only measured AL. Enter its length into the highlighted area."")%>"	-	-	"<%=ifThen(hasValue(col2.Question3b,col4.Question3d),""If you subtract 2 adjacent sides from the perimeter, you are left with 2 bases! %(Ans4_d)% - 2*%(Ans4_b)% = 36. 36 %(unt1)% is the length of 2 bases combined! Then just one base is...? 36 / 2 = %(Ans4_a)% %(unt1)%!"",""Are you sure you are ready to find the base? Make sure you have filled in the length of perimeter and the length of adjacent side, then come back to this highlighted field!"")%>"	-	The base (%(Ans1_a)%) is %(Ans4_a)% %(unit1word)% long. Enter %(Ans4_a)% into the highlighted area.	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Now do the same thing with %(Ans4_c)%(area) and %(Ans4_b)%(height); divide %(Ans4_c)% by %(Ans4_b)%: %(Ans4_c)%/%(Ans4_b)% = %(Ans4_a)%."",""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	-
%(Ans4b_hint1)%	-	-	-	-	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-	"<%=ifThen(hasValue(col2.Question2b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	"<%=ifThen(hasValue(col2.Question2b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	-	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	-	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-
%(Ans4b_hint2)%	-	-	-	-	"Take a look at the diagram label of this column, or under ""%(heading2)%"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(col2.Question2b),""What is the label of the height segment you entered under '%(heading2)%' for Question2?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while on '%(rowLabel4)%'' row to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question2b),""What is the label of the height segment you entered under '%(heading2)%' for Question2?"",""You have not entered the label for your height yet. Remember that, in this problem, you have two heights! Which height is perpendicular to the base with a known length?"")%>"	-	-	"Take a look at the diagram label of this column, or under ""%(heading2)%"". The label for the segment adjacent to the base is displayed as %(Ans1_b)%. Enter the length of %(Ans1_b)%."	-	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-
%(Ans4b_hint3)%	-	-	-	-	"The label under ""%(heading2)%"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(col2.Question2b),concat(""The label you entered under '%(heading2)%' for Question2 is "",col2.Question2b,"". How long is this segment? Read the question statement again if you are not sure.""),""There are two possible heights marked in the diagram and they are ST and IJ. But the question statement has given you the length of only one of the height. Which height is this?"")%>"	"<%=ifThen(hasValue(col2.Question2b),concat(""The label you entered under '%(heading2)%' for Question2 is "",col2.Question2b,"". How long is this segment?""),""The only side measured by your partner is %(trgtBase2)%, so you will have to use that as the base. Which height is perpendicular to %(trgtBase2)%? Note that, in a parallelogram, a parallel pair of segments is perpendicular to the same height in between them."")%>"	-	-	"Re-read Question3 to find how long %(Ans1_b)% is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-
%(Ans4b_hint4)%	-	-	-	-	The height (%(Ans1_b)%) is %(Ans4_b)% %(unit1word)% long.	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans4_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	-	"<%=ifThen(hasValue(col2.Question2b),""ST is %(Ans4_b)% %(unit1word)% long. Enter the length into the highlighted area."",""The problem statement has only given you the length of ST, which is %(Ans4_b)% %(unit1word)% long. Enter %(Ans4_b)% into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question2b),""AC is %(Ans4_b)% %(unit1word)% long. Enter the length into the highlighted area."",""The segment parallel to AL is %(Base2_alt)%, and the height between them is AC! Enter the length of AC into the highlighted area."")%>"	-	-	The side adjacent to the base (%(Ans1_b)%) is %(Ans4_b)% %(unit1word)% long. Enter %(Ans4_b)% into the highlighted area.	-	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans4_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base #1 first. A base must be a side of a parallelogram. So the base #1 is %(Ans1_a)%. That only leaves %(Ans1_b)% to be height #1. Enter its length into the highlighted area."")%>"	-	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans4_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	-
%(Ans4c_hint1)%	-	-	-	-	Enter the value of the parallelogram's area here. It is given in the statement for Question3.	Enter the value of the parallelogram's area here. It is given in the statement for Question3.	-	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	-	-	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	-	Enter the length of the parallelogram's base #2 here. Not sure which segment is base #2? What is the label of base #2?	-	Enter the value of the parallelogram's area here. It is given in the statement for Question3.	-
%(Ans4c_hint2)%	-	-	-	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question3? "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question3? "	-	%(q1-gloss-h2)%	%(q1-gloss-h2)%	-	-	"Take a look at the diagram label of this column, or under ""%(heading3)%"". What is the name or the label of the segment that represents the height?"	-	"Take a look at the diagram label of this column, or under ""%(heading3)%"". The base #2 segment label is displayed as %(Ans1_c)%. Enter the length of %(Ans1_c)%."	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question3? "	-
%(Ans4c_hint3)%	-	-	-	-	"%(Ans4_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	"%(Ans4_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	-	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	-	-	"The label under ""%(heading3)%"" is %(Ans1_c)%. Do you remember how long the segment %(Ans1_c)% is? Read the problem statement again if you forgot. "	-	"Re-read the question statement to find how long %(Ans1_c)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"%(Ans4_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	-
%(Ans4c_hint4)%	-	-	-	-	"Enter %(geoName)%'s area, %(Ans4_c)%."	"Enter %(geoName)%'s area, %(Ans4_c)%."	-	"<%=ifThen(hasValue(col1.Question3a,col2.Question3b),concat(""All you have to do is multiply the length of the base ("",col1.Question2a,"" = %(Ans4_a)%) by the height ("",col2.Question2b,"" = %(Ans4_b)%). Therefore, A = %(Ans4_a)% * %(Ans4_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(col1.Question3a,col2.Question3b),concat(""All you have to do is multiply the length of the base ("",col1.Question2a,"" = %(Ans4_a)%) by the height ("",col2.Question2b,"" = %(Ans4_b)%). Therefore, A = %(Ans4_a)% * %(Ans4_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	-	-	The height (%(Ans1_c)%) is %(Ans4_c)% %(unit1word)% long.	-	"<%=ifThen(regExMatch(""FR|RF"",col3.Question0c), ""Base #2 (%(Ans1_c)%) is %(Ans4_c)% %(unit1word)% long. Enter %(Ans4_c)% into the highlighted area."",concat(""Question3 has given you %(trgtBase3)% = %(Ans4_c)%. Since "",col3.Question0c,"" is parallel to %(trgtBase3)%, "",col3.Question0c,"" = %(Ans4_c)% as well.""))%>"	-	"Enter %(geoName)%'s area, %(Ans4_c)%."	-
%(Ans4d_hint1)%	-	-	-	-	-	-	-	-	-	-	-	The perimeter is the sum of the lengths of all the sides of a geometry. What is the perimeter of %(geoName)% in Question3?	-	"You are looking for the length of the height, BG, which is height #2. <%=ifThen(hasValue(col4.Question3d,col5.Question3e),""You can find the height(h), if the base(b) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown height?"")%>"	-	-	-
%(Ans4d_hint2)%	-	-	-	-	-	-	-	-	-	-	-	Read Question3 carefully. The length of the perimeter of the parallelogram %(geoName)% is already given. 	-	"<%=ifThen(hasValue(col3.Question3c,col5.Question3e),""Your situation is 'Area' = 'base' * '?' where the height is represented as '?'. Solve for the height by dividing the area by the base! But which base should you use? Base #1 or base #2?"",""Are you sure you are ready to answer this part?"")%>"	-	-	-
%(Ans4d_hint3)%	-	-	-	-	-	-	-	-	-	-	-	"In Question3, the parallelogram's perimeter is given as %(Ans4_d)% %(unt1)%."	-	"<%=ifThen(hasValue(col3.Question3c,col5.Question3e),""You are solving for BG, which is height #2. You should use the base that is perpendicular to height #2."",""In order to solve for the height, you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	-	-
%(Ans4d_hint4)%	-	-	-	-	-	-	-	-	-	-	-	"Enter the length of %(geoName)%'s perimeter, %(Ans4_d)% into the highlighted area."	-	"<%=ifThen(hasValue(col3.Question3c,col5.Question3e),concat(""Height #2 is perpendicular to base #2, which is labeled as "",col3.Question0c,"". Solve for height #2 (BG) by dividing the length of base #2 by the area: %(Ans4_e)%/%(Ans4_c)% = %(Ans4_d)%.""),""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%>"	-	-	-
%(Ans4e_hint1)%	-	-	-	-	-	-	-	-	-	-	-	Do you know how to find an area of the parallelogram? %(q1-gloss-h1)%	-	%(q1-gloss-h1)%	-	-	-
%(Ans4e_hint2)%	-	-	-	-	-	-	-	-	-	-	-	%(q1-gloss-h2)%	-	"The area (A) of the paralleogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". You know the lengths of both of the 2 heights in this question. Which height should you use to find the area of FROG?"	-	-	-
%(Ans4e_hint3)%	-	-	-	-	-	-	-	-	-	-	-	"The area (A) of the parallelogram %(geoName)% can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	-	"<%=ifThen(hasValue(col1.Question3a,col2.Question3b),concat(""You only know the length of one height, and that is "",col2.Question3b,"". That means you must use the base perpendicular to "",col2.Question3b,"" to calculate the area!""),""Are you sure you are ready to do this part?"")%>"	-	-	-
%(Ans4e_hint4)%	-	-	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question3a,col3.Question3c),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans4_a)%) by the height (%(Ans1_c)% = %(Ans4_c)%). Therefore, A = %(Ans4_a)% * %(Ans4_c)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	-	"<%=ifThen(hasValue(col1.Question3a,col2.Question3b),concat("""",col2.Question3b,"" is height #1, which is perpendicular to base #1, %(Ans1_a)%. Multiply the lengths of base #1 and height #1 together to get the area. A = %(Ans4_a)% * %(Ans4_b)%."")),""Looks like you are missing some lengths you need to know in order to calculate the area. Fill in the rest of this row and come back to this field!"")%>"	-	-	-
																	
%(q1-gloss-h1)%	-	-	-	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	 Look up the area formula in the glossary if you need help.	"Open the glossary and search for ""Area - Parallelogram"" if you are not sure how to find area of a parallelogram."	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "	"If you are not sure, try finding the formula in the glossary. "
%(q1-gloss-h2)%	-	-	-	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "	-	"Open the glossary and search for ""Area - Triangle"". "	"Open the glossary and search for ""Area - Parallelogram"". "	"Open the glossary and search for ""Area - Parallelogram"". "
																	
%(goodjob)%	-	Good job!	Good job!	Good job!	Good job!	"Well done. You did a good job finding parallelogram's height, even if it was not vertical!"	Good job!	Great job! See how the area calculates out to be the same. Parallelogram's area can be calculated using two different heights.	Well done! You chose correct heights for different bases.	Good job!	Good job! 	Neat! You did very well calculating the missing values for the parallelogram.	Good job!	Well done! You chose correct heights for different bases.	Good job!	Good job!	Great job understanding the rhombus!
																	
%(Q0_a_name)%	-	idenBaseSeg	idenBaseSeg	-	-	idenBaseSeg	-	-	idenBaseSeg	-	idenBaseSeg	-	idenBaseSeg	-	idenBaseSeg	idenBaseSeg	-
%(Q0_a_label)%	-	Identify base segment	Identify base segment	-	-	Identify base segment	-	-	Identify base segment	-	Identify base segment	-	Identify base segment	-	Identify base segment	Identify base segment	-
%(Q0_b_name)%	-	idenAdjcSeg	idenAdjcSeg	-	-	idenHeightSeg	-	-	idenHeightSeg	idenHeightSeg	idenHeightSeg	-	idenHeightSeg	idenHeightSeg	idenHeightSeg	idenHeightSeg	-
%(Q0_b_label)%	-	Identify segment adjacent to the base	Identify segment adjacent to the base	-	-	Identify height segment	-	-	Identify height segment	Identify height segment	Identify height segment	-	Identify height segment	Identify height segment	Identify height segment	Identify height segment	-
%(Q0_c_name)%	-	idenBaseSeg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q0_c_label)%	-	Identify base segment	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q0_d_name)%	-	idenAdjcSeg	-	-	-	-	-	-	-	-	-	-	-	idenHeightSeg	-	-	-
%(Q0_d_label)%	-	Identify segment adjacent to the base	-	-	-	-	-	-	-	-	-	-	-	Identify height segment	-	-	-
																	
%(Q1_a_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_a_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_b_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_b_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q1_c_name)%	-	-	FindPerimeterPara	FindAreaPara	FindAreaPara	FindAreaPara	FindAreaTri	FindAreaPara	FindAreaPara	FindAreaTri	FindAreaTri	-	-	-	FindAreaPara	FindAreaPara	FindPerimeterPara
%(Q1_c_label)%	-	-	Find perimeter of a parallelogram	Find area of a parallelogram	Find area of a parallelogram	Find area of a parallelogram	Find area of a triangle	Find area of a parallelogram	Find area of a parallelogram	Find area of a triangle	Find area of a triangle	-	-	-	Find area of a parallelogram	Find area of a parallelogram	Find perimeter of a parallelogram
%(Q1_d_name)%	-	-	-	-	-	-	-	-	-	-	-	FindPerimeterPara	SolvHeight	-	-	-	FindAreaPara
%(Q1_d_label)%	-	-	-	-	-	-	-	-	-	-	-	Find perimeter of a parallelogram	Solve for height	-	-	-	Find area of a parallelogram
%(Q1_e_name)%	-	FindPerimeterPara	-	-	-	-	-	-	-	-	-	FindAreaPara	-	FindAreaPara	-	-	-
%(Q1_e_label)%	-	Find perimeter of a parallelogram	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	Find area of a parallelogram	-	-	-
																	
%(Q2_a_name)%	-	IdenExp	IdenExp	-	-	-	-	idenBaseSeg	idenBaseSeg	-	-	-	-	-	-	-	-
%(Q2_a_label)%	-	Identify expression for a segment	Identify expression for a segment	-	-	-	-	Identify base segment	Identify base segment	-	-	-	-	-	-	-	-
%(Q2_b_name)%	-	IdenExp	IdenExp	-	SolvHeight	SolvHeight	-	idenHeightSeg	idenHeightSeg	-	-	-	-	-	-	SolvHeight	-
%(Q2_b_label)%	-	Identify expression for a segment	Identify expression for a segment	-	Solve for height	Solve for height	-	Identify height segment	Identify height segment	-	-	-	-	-	-	Solve for height	-
%(Q2_c_name)%	-	IdenExp	IdenExpPerimeter	-	-	-	-	-	-	-	-	SolvHeight	-	SolvBase	-	-	-
%(Q2_c_label)%	-	Identify expression for a segment	Identify expression for the perimeter	-	-	-	-	-	-	-	-	Solve for height	-	Solve for base	-	-	-
%(Q2_d_name)%	-	IdenExp	-	-	-	-	-	-	-	-	-	FindPerimeterPara	SolvHeight	-	-	-	-
%(Q2_d_label)%	-	Identify expression for a segment	-	-	-	-	-	-	-	-	-	Find perimeter of a parallelogram	Solve for height	-	-	-	-
%(Q2_e_name)%	-	IdenExpPerimeter	-	-	-	-	-	-	-	-	-	-	FindAreaPara	-	-	-	-
%(Q2_e_label)%	-	Identify expression for the perimeter	-	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	-	-	-
																	
%(Q3_a_name)%	-	-	-	-	SolvBase	SolvBase	-	-	-	-	-	SolvBase	-	-	-	SolvBase	-
%(Q3_a_label)%	-	-	-	-	Solve for base	Solve for base	-	-	-	-	-	Solve for base	-	-	-	Solve for base	-
%(Q3_b_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q3_b_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Q3_c_name)%	-	-	-	-	-	-	-	FindAreaPara	FindAreaPara	-	-	-	-	-	-	-	-
%(Q3_c_label)%	-	-	-	-	-	-	-	Find area of a parallelogram	Find area of a parallelogram	-	-	-	-	-	-	-	-
%(Q3_d_name)%	-	-	-	-	-	-	-	-	-	-	-	-	-	SolvHeight	-	-	-
%(Q3_d_label)%	-	-	-	-	-	-	-	-	-	-	-	-	-	Solve for height	-	-	-
%(Q3_e_name)%	-	-	-	-	-	-	-	-	-	-	-	FindAreaPara	-	-	-	-	-
%(Q3_e_label)%	-	-	-	-	-	-	-	-	-	-	-	Find area of a parallelogram	-	-	-	-	- 
