Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(ansQ4d)%	-	-	-	-	-	-	-	12.56	94.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4e)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(calc-radius)%	-	-	-	-	-	7	-	-	-	10	8	10	3	5	2	6	7	10	1.5	2.5	3	-	5	-	3	4	1
%(calc-diameter)%	-	-	-	-	-	14	-	-	-	20	16	20	6	10	4	12	14	20	3	5	6	-	10	-	6	8	2
%(calc-height)%	-	-	-	-	-	-	-	-	-	-	-	-	6	10	9	18	-	20	3	5	6	9	10	10	7	10	4.5
%(calc-base)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	-	20	-	5	13	9	10	6	12	8	2
%(calc-gvn)%	-	-	-	-	81*pi	16*pi	-	200.96	144*pi	-	153.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(calc-gvn2)%	-	-	-	-	-	-	25*pi	-	94.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																											
%(q1a-h1)%	-	-	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	Enter the length of a side of the square here.	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	This is step 1 of finding the circumference of the circle. Enter the length of the circle's radius here. 	-	-	-	-	Enter the value of the circle's area here. 	-	-	Enter the semicircle's area here. You can find the area of a semicircle by dividing an area of a full circle in half! 	-	Enter area of the rectangle here. 	Enter the length of the quarter-circle's radius here. What information is given in this question?	-	-	Enter the length of the circle's radius here. What information is given in this question?	Enter the length of the semicircle's diameter here. What information is given in this question?	-	Enter the length of the semicircle's radius here. What information is given in this question?	-	Enter the area of triangle 1 here.  	Enter the length of the semicircle's diameter here. What information is given in this question?	Enter the area of triangle 1 here.
%(q1a-h2)%	-	-	Radius is a segment that connects the circle's center to its circumference. 	"ABCD is a square, so all 4 sides have the equal length. "	Radius is a segment that connects the circle's center to its circumference. 	Radius is a segment that connects the circle's center to its circumference. What information is given in this question? 	-	-	-	-	What information is given in this question? Read question1 again carefully.	-	-	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide it by 2: '(R^2 * pi) / 2'. "	-		Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.	-	-	The problem statement gave you the length of a side of the square instead. Does this side have any relationship with the radius?	The problem statement gave you the lengths of sides of the rectangle instead. Do any of these sides have any relationship with the diameter?	-	The problem statement gave you the length of a side of the square instead. Does this side have any relationship with the radius?	-	"Having trouble finding triangle 1's base (FE) and height (AF)? The triangle's height is the rectangle's height. Since the rectangle's height is 7 in, the triangle's height is also 7 in."	The problem statement gave you the lengths of sides of the rectangle instead. Do any of these sides have any relationship with the diameter?	"Having trouble finding the triangle base (IC), and the height(CB)? Both the base and the height of the triangle is given in the diagram. What are they?"
%(q1a-h3)%	-	-	What information is given in this question? Read question 1 again carefully.	What information is given in this question? Read question 1 again carefully.	What information is given in this question? Read question 1 again carefully.	"The problem has given you the length of the diameter, 14 ft, instead, but if you divide it in half, you will get the length of the radius!"	-	-	-	-	"The area is 153.86 square feet. Enter the expression into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	-	-	Having trouble substituting the length of the radius into the formula? Try to think about the length of the diameter first. The diameter of the semicircle fits perfectly onto a side of the square. This means the diameter and the side have the equal length of 10 cm.	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	Remember: a radius is 1/2 of a diameter!	-	-	"Yes it does! Review the diagram again; notice how the circle fits tightly onto the square. This means the circle's diameter and the side of the square have the same length, and remember: a radius is 1/2 of a diameter!"	Yes it does! Notice how the semicircle's diameter fits perfectly onto the rectangle's height. This means the semicircle's diameter and the rectangle's height have the same length.	-	"Yes it does! Review the diagram again; notice how the semicircle's diameter fits perfectly onto a square's side. This means the semicircle's diameter and a square's side have the same length, and remember: a radius is 1/2 of a diameter!"	-	"For the triangle's base, review this part of the problem statement: ""the length of segment FE is exactly 1/4 of the width."" Get the length of the triangle's base by finding 1/4 of the the rectangle's width: 12 / 4&nbsp;= 3 in."	Yes it does! Review the diagram again; notice how the semicircle's diameter fits perfectly onto the rectangle's base (AB). This means the semicircle's diameter and the rectangle's base (AB) have the same length.	"The triangle's base is segment IC, and it is 2 ft long. The triangle's height is segment CB, and it is 4.5 ft long."
%(q1a-h4)%	-	-	The radius is 10 inches long. Enter it into the highlighted box. 	The length of one of the sides of ABCD is 10 centimeters long. Enter it into the highlighted box.	The radius is 3 centimeters long. Enter it into the highlighted box. 	Divide the diameter in half to get the length of the radius: 14 / 2&nbsp;= 7 feet. Enter it into the highlighted box. 	-	-	-	-		-	-	"Since the diameter is 10 cm, the radius is half of that length, 5 cm. Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (5*5 * pi) / 2."	-	"The rectangle's base is 14 ft, and the height is 18 ft. Find the rectangle's area by multiplying the base and the height: 14 * 18. Enter the expression into the highlighted box."	The radius is 7 cm long.	-	-	"A side of ABCD is 12 in. Therefore, the circle's diameter is also 12 in, which makes the circle's radius: 12 / 2&nbsp;= 6 in."	"The height of the rectangle is 6 cm. Therefore, the semicircle's diameter is also 6 cm."	-	"A side of the square is 10 cm. Therefore, the semicircle's diameter is also 10 cm, which makes the semicircle's radius: 10 / 2&nbsp;= 5 cm."	-	"Triangle 1's height is 7 in, and the base 3 in.  Find the area of triangle 1: (base * height) / 2&nbsp;= (3 * 7) / 2. Enter the expression into the highlighted box."	"The base of the rectangle is 8 in. Therefore, the semicircle's diameter is also 8 in."	"The triangle 's height is 4.5 ft, and the base 2 ft.  Substitute them into the formula to calculate the area: (base * height) / 2&nbsp;= (2 * 4.5) / 2. Enter the expression into the highlighted box."
%(q1b-h1)%	-	-	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	Enter the area of the square here. 	This is step 2 of finding the area of the circle. Enter the square of the length of the radius here. 	This is step 2 of finding the circumference of the circle. Enter the length of the diameter (2 radii) here. 	-	-	-	-	"You can solve for the radius (R) from the value of area (A) if you use inverse operations to ""undo"" the step you take finding the area: 1. squaring the radius, and 2. multiplying the result by pi."	-	-	Enter area of the square here. 	-	Enter the circle's area here. 	Imagine a full circle before it became the quarter-circle you see in this problem. What would be its circumference? 	-	-	Enter the length of a side of the square here.	Enter the length of the semicircle's radius here. What information is given in this question?	-	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing an area of a full circle in half! "	-	Enter the area of triangle 2 here.  	Enter the length of arc AB here. Arcs are not straight segments! Arcs are obtained by taking a piece from a full circle's circumference. 	Enter the length of the semicircle's radius here. What information is given in this question?
%(q1b-h2)%	-	-	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	Think about how you find an area of a regular rectangle; it is 'base' * 'height'. What is the square's base and height?	"Do you know how to square a value? To square a value, simply multiply the number by itself! For example, '3 squared' is 9, because 3*3&nbsp;= 9. "	"If you know the length of the radius, you can easily find the length of the diameter; simply multiply the length of the radius by 2."	-	-	-	-	"<%=ifThen(hasValue(q1a),""'Undo' the multiplication of pi by dividing pi away from the area: 153.86/pi. What next? What is left to 'undo'?"",""Uh oh! We cannot give you more hints because either you have not entered the value of the circle's area, or you entered it incorrectly."")%>"	-	-		-	Having trouble substituting the length of the radius into the formula? Read the problem statement again to see what is given.	" You can find the circumference using either the radius or the diameter. If you only have the length of the radius, just multiply it by 2 to get the diameter."	-	-	"ABCD is a square, so all 4 sides have the equal length. "	The problem statement gave you the lengths sides of the rectangle instead. Do any of these sides have any relationship with the radius?	-	" Once you have the expression for finding the area of the full circle, divide it by 2 to get the area of the semicircle. "	-	"Having trouble finding triangle 2's base (BC) and height (CD)? The triangle's height is the rectangle's height. Since the rectangle's height is 7 in, the triangle's height is also 7 in."	"Arcs are obtained by taking a piece from a full circle's circumference. Since Arc AB belongs to the semicircle (1/2 of a circle), arc AB is the 1/2-piece of the full circle's circumference."	Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is.
%(q1b-h3)%	-	-	"Now, square the value of the radius by multiplying it by itself."	"<%=ifThen(hasValue(q1a),""You have correctly entered the length of a side of ABCD as 10 cm. The square's base and height have the same length, so square '10' to get the area of ABCD."",""Uh oh! We cannot give you more hints because you have either not entered the value for the side of the square yet, or entered it incorrectly."")%>"	"Now, square the value of the radius by multiplying it by itself."	"<%=ifThen(hasValue(q1a),""The radii of the circle is 7 ft long. Therefore, the diameter (2 radii) is 14 ft long. Enter it into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	-	-	-	"<%=ifThen(hasValue(q1a),""You still need to 'undo' the squaring. 'Undo' the squaring by taking the square root of '153.86/pi'."","""")%>"	-	-		-	"The radius is given as 6 ft. Now, you can find the area of the circle by: A&nbsp;= R^2 * pi. 'R^2' means 'square the radius'. Do you remember how to square a value?"	"Find the circumference with a diameter(D) : C&nbsp;= D*pi. Or, with a radius(R), C&nbsp;= 2R*pi. Remember, the only thing you really need to figure out is the length of '2R' or 'D'!"	-	-	What information is given in this question? Read the question again carefully.	"Yes it does! Notice how the semicircle's diameter fits perfectly onto the rectangle's height. This means the semicircle's diameter and the rectangle's height have the same length, and remember: a radius is 1/2 of a diameter!"	-	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide by 2: '(R^2 * pi) / 2'. Do you still remember how to calculate 'R^2'? It means 'radius squared'. "	-	"For the triangle's base, review this part of the problem statement: ""The length of segment AB is the half of the width."" Get the length of the triangle's base by finding 1/2 of the length of the the rectangle's width: 12 / 2&nbsp;= 6 in."	"To get the 1/2-piece of the circumference of the full circle, think about the formula for finding the circumference, and then divide it by 2. "	Remember: a radius is 1/2 of a diameter!
%(q1b-h4)%	-	-	"<%=ifThen(hasValue(q1a),""The square of the radius is 10^2&nbsp;= 10 * 10&nbsp;= 100."",""Uh oh! We cannot give you more hints because you have either not entered the value for the radius yet, or entered it incorrectly."")%>"	"<%=ifThen(hasValue(q1a),""Square '10' to get the area of ABCD: 10^2&nbsp;= 10*10&nbsp;= 100 sq. cm."","""")%>"	"<%=ifThen(hasValue(q1a),""The square of the radius is 3^2&nbsp;= 3 * 3&nbsp;= 9."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"		-	-	-	-	"<%=ifThen(hasValue(q1a),""Take the square root of the expression '153.86/pi' by entering this expression into the highlighted box: |(153.86/pi). (Make sure you replace 'pi' with its approximated value of 3.14)."","""")%>"	-	-	"Find the area of the square using this formula: area(A)&nbsp;= S*S, where ""S"" represents the length of one of the sides of the square. A side of the square is 10 cm long. Therefore: area(A)&nbsp;= 10 * 10. Enter the expression into the highlighted box."	-	"To square a value, simply multiply the number by itself. Area(A)&nbsp;= R^2 * pi&nbsp;= R * R * pi, which is 6*6 * pi. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."	"<%=ifThen(hasValue(q1a),""Looks like you don't know the length of the diameter, but you can still use the radius to find the circumference: 2R * pi&nbsp;= (2*7) * 3.14. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints. You have not entered something that is needed for calculating the circumference in this row."")%>"	-	-	The length of one of the sides of ABCD is 12 inches long. Enter it into the highlighted box.	"The height of the rectangle is 6 cm. Therefore, the semicircle's diameter is also 6 cm, which makes the semicircle's radius: 6 / 2&nbsp;= 3 cm."	-	"<%=ifThen(hasValue(q1a),""Find the area of the semicircle: Area(A)&nbsp;= (R^2 * pi) / 2&nbsp;= (R * R * pi) /2 , which is (5*5 * pi) / 2. Make sure you replace 'pi' with its approximate value of 3.14 when entering the expression into the highlighted box."",""Uh oh! We cannot give you more hints because either you have not entered the length of the radius, or entered it incorrectly."")%>"	-	"Triangle 2's height is 7 in, and the base 6 in.  Find the area of triangle 2: (base * height) / 2&nbsp;= (6 * 7) / 2. Enter the expression into the highlighted box."	"<%=ifThen(hasValue(q1a),""The length of arc AB is found by dividing the circumference of a full circle ( 8*pi ), and divide it by 2 like this: '(8*pi) / 2'. Enter the expression into the highlighted box."",""Uh oh! We cannot give you anymore hints because either you have not entered the semicircle's diameter, or you entered it incorrectly."")%>"	The radius is 1 ft long.
%(q1c-h1)%	-	-	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	Enter the perimeter of the square here. 	"This is step 3, the last step, of finding the area of the circle. Enter the value of the circle's area here."	"This is step 3, the last step, of finding the circumference of the circle. Enter the value of the circle's circumference here."	-	-	-	-	Enter the length of the circle's diameter here.	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	Enter the length of arc CD here. Arcs are not straight segments! Arcs are obtained by taking a piece from a full circle's circumference. 	-	-	"Enter the area of the complex shape here. There are no simple formulas for finding areas of complex shapes, but think about what shapes make up the complex shape."	How would you find the total area of 2 semicircles combined? Think about what shape it makes if you arrange 2 semicircles together.	-	How would you find the total area of 3 semicircles combined?	-	Enter area of the rectangle here. 	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing the area of a full circle in half! "	"Enter the semicircle's area here. Semicircle is a half of a full circle. This means, you can find the area of the semicircle by dividing the area of a full circle in half!"
